time_s,predicted_chord
14.721,D#maj7
14.768,D#maj7
14.814,D#maj7
14.861,D#maj7
14.907,Em7b5
14.954,Em7b5
15.000,Em7b5
15.047,Em7b5
15.093,A#
15.139,A#
15.186,A#
15.232,A#
15.279,A#maj7
15.325,A#maj7
15.372,Emaj7
15.418,A#dim
15.464,A#dim
15.511,A#maj7
15.557,Dmaj7
15.604,Dm
15.650,A#maj7
15.697,F7
15.743,F7
15.790,Dm7
15.836,Em7b5
15.882,A#maj7
15.929,A#maj7
15.975,A#maj7
16.022,Dm
16.068,Fmaj7
16.115,Dm
16.161,C7
16.208,Fmaj7
16.254,Fmaj7
16.300,Fm
16.347,Amaj7
16.393,Amaj7
16.440,Amaj7
16.486,A#maj7
16.533,A#maj7
16.579,A#maj7
16.625,A#maj7
16.672,Amaj7
16.718,Amaj7
16.765,Amaj7
16.811,Amaj7
16.858,Amaj7
16.904,Amaj7
16.951,Amaj7
16.997,A#maj7
17.043,A#maj7
17.090,A#maj7
17.136,A#maj7
17.183,Fmaj7
17.229,Fmaj7
17.276,Fmaj7
17.322,Fmaj7
17.369,Fmaj7
17.415,Fmaj7
17.461,Gmaj7
17.508,D#maj7
17.554,D#maj7
17.601,Emaj7
17.647,Em
17.694,Em
17.740,Em
17.786,Em
17.833,C#dim
17.879,C#dim
17.926,C#dim
17.972,Amaj7
18.019,Amaj7
18.065,Amaj7
18.112,Amaj7
18.158,G#maj7
18.204,G#maj7
18.251,G#maj7
18.297,Amaj7
18.344,Amaj7
18.390,Amaj7
18.437,Amaj7
18.483,Amaj7
18.530,Amaj7
18.576,Amaj7
18.622,Amaj7
18.669,Amaj7
18.715,Amaj7
18.762,Amaj7
18.808,Amaj7
18.855,Amaj7
18.901,Amaj7
18.947,Emaj7
18.994,Amaj7
19.040,Amaj7
19.087,Cmaj7
19.133,C#m7b5
19.180,C#m7b5
19.226,C#maj7
19.273,A
19.319,A
19.365,A
19.412,A
19.458,C#dim
